caseid,totalnewsbinary_post_All_ref,totalnewscount_post_All_ref,log_news_post_All_ref,Average_domain_NewsG_Score_post_All_ref,Count_Reliable_NewsG_Score_post_All_ref,Count_Unreliable_NewsG_Score_post_All_ref,Prop_Reliable_NewsG_Score_post_All_ref,Prop_Unreliable_NewsG_Score_post_All_ref
1147325327,1,33,3.4965075614664802,80.26666666666667,1.462397997898956,0.47712125471966244,0.8484848484848485,0.06060606060606061
1147357513,1,123,4.812184355372417,94.90384615384616,1.4313637641589874,0,0.21138211382113822,0
1147357727,1,6,1.791759469228055,78.75,0.6989700043360189,0.47712125471966244,0.6666666666666666,0.3333333333333333
1147357933,1,2,0.6931471805599453,85,0.47712125471966244,0,1,0
1149913275,1,13,2.5649493574615367,90.625,0.6989700043360189,0,0.3076923076923077,0
1149913277,1,13,2.5649493574615367,90,1.0791812460476249,0,0.8461538461538461,0
1149913291,1,18,2.8903717578961645,96.11111111111111,1.2787536009528289,0,1,0
1149913297,1,10,2.302585092994046,94.0625,0.9542425094393249,0,0.8,0
1149913303,1,3,1.0986122886681098,100,0.3010299956639812,0,0.3333333333333333,0
1149913313,1,7,1.9459101490553132,91.42857142857143,0.9030899869919435,0,1,0
1149913315,1,3,1.0986122886681098,85.83333333333333,0.6020599913279624,0,1,0
1149913325,1,5,1.6094379124341003,76.25,0.6020599913279624,0.3010299956639812,0.6,0.2
1149913329,1,1,0,77,0.3010299956639812,0,1,0
1149913335,1,21,3.044522437723423,93,1.0413926851582251,0,0.47619047619047616,0
1149913353,1,122,4.804021044733257,91.37878787878788,1.99563519459755,0.3010299956639812,0.8032786885245902,0.00819672131147541
1149913361,1,23,3.1354942159291497,89.8913043478261,1.380211241711606,0,1,0
1149913369,1,55,4.007333185232471,92.30392156862744,1.7160033436347992,0,0.9272727272727272,0
1149913371,1,3,1.0986122886681098,90,0.6020599913279624,0,1,0
1149913373,1,13,2.5649493574615367,91.66666666666667,1.1139433523068367,0,0.9230769230769231,0
