caseid,totalnewsbinary_dv_SM_ref,totalnewscount_dv_SM_ref,log_news_dv_SM_ref,Average_domain_NewsG_Score_dv_SM_ref,Count_Reliable_NewsG_Score_dv_SM_ref,Count_Unreliable_NewsG_Score_dv_SM_ref,Prop_Reliable_NewsG_Score_dv_SM_ref,Prop_Unreliable_NewsG_Score_dv_SM_ref
1147325327,1,51,3.9318256327243257,69.54347826086956,1.5563025007672873,1.0791812460476249,0.6862745098039216,0.21568627450980393
1147357513,1,171,5.14166355650266,90.86206896551724,1.4771212547196624,0,0.1695906432748538,0
1147357933,1,1,0,100,0.3010299956639812,0,1,0
1149913275,1,2,0.6931471805599453,87.5,0.3010299956639812,0,0.5,0
1149913277,1,4,1.3862943611198906,86.875,0.6989700043360189,0,1,0
1149913281,1,2,0.6931471805599453,95,0.47712125471966244,0,1,0
1149913289,1,2,0.6931471805599453,100,0.47712125471966244,0,1,0
1149913291,1,15,2.70805020110221,83.14285714285714,1.1139433523068367,0.47712125471966244,0.8,0.13333333333333333
1149913297,1,3,1.0986122886681098,95.83333333333333,0.6020599913279624,0,1,0
1149913303,1,19,2.9444389791664403,95.11111111111111,1.2787536009528289,0,0.9473684210526315,0
1149913313,1,11,2.3978952727983707,90.45454545454545,1.0791812460476249,0,1,0
1149913315,1,10,2.302585092994046,88.125,0.9542425094393249,0,0.8,0
1149913335,1,105,4.653960350157523,90.67307692307692,1.4313637641589874,0,0.24761904761904763,0
1149913353,1,144,4.969813299576001,89.02358490566037,2.0211892990699383,0.47712125471966244,0.7222222222222222,0.013888888888888888
1149913369,1,49,3.8918202981106265,90.17021276595744,1.6434526764861874,0.6989700043360189,0.8775510204081632,0.08163265306122448
1149913373,1,1,0,NaN,0,0,0,0
1149913377,1,310,5.736572297479192,89.35396039603961,2.287801729930226,1,0.6225806451612903,0.02903225806451613
1149913387,1,2,0.6931471805599453,93.75,0.47712125471966244,0,1,0
1149913395,1,21,3.044522437723423,91.34615384615384,1.146128035678238,0,0.6190476190476191,0
1149913397,1,26,3.258096538021482,89.86363636363636,1.3222192947339193,0.47712125471966244,0.7692307692307693,0.07692307692307693
1149913399,1,158,5.062595033026967,51.83986928104575,1.9242792860618816,1.8512583487190752,0.5253164556962026,0.4430379746835443
1149913409,1,5,1.6094379124341003,90.625,0.6989700043360189,0,0.8,0
1149913415,1,6,1.791759469228055,90,0.6020599913279624,0,0.5,0
1149913417,1,24,3.1780538303479458,90.32608695652173,1.3424226808222062,0.47712125471966244,0.875,0.08333333333333333
1149913421,1,9,2.1972245773362196,90.9375,0.9542425094393249,0,0.8888888888888888,0
1149913427,1,48,3.871201010907891,88.73611111111111,1.5563025007672873,0.3010299956639812,0.7291666666666666,0.020833333333333332
1149913433,1,120,4.787491742782046,91.7016806722689,2.0791812460476247,0,0.9916666666666667,0
1149913435,1,1,0,82.5,0.3010299956639812,0,1,0
1149913439,1,7,1.9459101490553132,100,0.3010299956639812,0,0.14285714285714285,0
1149913441,1,9,2.1972245773362196,88.92857142857143,0.9030899869919435,0,0.7777777777777778,0
1149913443,1,38,3.6375861597263857,93.125,0.9542425094393249,0,0.21052631578947367,0
1149913445,1,68,4.219507705176107,69.59836065573771,1.7781512503836436,0.47712125471966244,0.8676470588235294,0.029411764705882353
1149913455,1,158,5.062595033026967,64.54166666666667,2.060697840353612,1.6334684555795864,0.7215189873417721,0.26582278481012656
1149913467,1,1,0,NaN,0,0,0,0
1149913475,1,5,1.6094379124341003,85.5,0.7781512503836436,0,1,0
1149913477,1,35,3.5553480614894135,92.3529411764706,1.5440680443502757,0,0.9714285714285714,0
1149913483,1,2,0.6931471805599453,87.5,0.47712125471966244,0,1,0
1149913511,1,2,0.6931471805599453,100,0.47712125471966244,0,1,0
1149913517,1,1,0,87.5,0.3010299956639812,0,1,0
1149913519,1,166,5.111987788356544,89.74489795918367,1.6989700043360187,0,0.29518072289156627,0
1149913549,1,1,0,NaN,0,0,0,0
1149913569,1,37,3.6109179126442243,92,0.7781512503836436,0,0.13513513513513514,0
1149913575,1,4,1.3862943611198906,87.5,0.47712125471966244,0,0.5,0
1149913583,1,9,2.1972245773362196,76,0.47712125471966244,0,0.2222222222222222,0
1149913591,1,23,3.1354942159291497,74.93333333333334,0.9542425094393249,0.9030899869919435,0.34782608695652173,0.30434782608695654
1149913703,1,609,6.411818267709897,90.96380471380472,2.7745169657285498,0,0.9753694581280788,0
1149913749,1,118,4.770684624465665,91.25,0.47712125471966244,0,0.01694915254237288,0
1149913763,1,13,2.5649493574615367,87.5,1.146128035678238,0,1,0
1149913777,1,2,0.6931471805599453,NaN,0,0,0,0
1149913781,1,4,1.3862943611198906,95,0.6989700043360189,0,1,0
1149913805,1,1,0,NaN,0,0,0,0
1149913837,1,14,2.6390573296152584,90.76923076923077,1.146128035678238,0,0.9285714285714286,0
1149913839,1,2,0.6931471805599453,97.5,0.47712125471966244,0,1,0
1149913841,1,2,0.6931471805599453,NaN,0,0,0,0
1149913855,1,1,0,52,0,0.3010299956639812,0,1
1149913861,1,3,1.0986122886681098,90,0.6020599913279624,0,1,0
1149913865,1,5,1.6094379124341003,90,0.7781512503836436,0,1,0
1149913909,1,56,4.02535169073515,62.65384615384615,0.9542425094393249,0.7781512503836436,0.14285714285714285,0.08928571428571429
1149913935,1,121,4.795790545596741,NaN,0,0,0,0
1149913937,1,17,2.833213344056216,90,1.255272505103306,0,1,0
1149913979,1,6,1.791759469228055,93.33333333333333,0.6020599913279624,0,0.5,0
1149914039,1,5,1.6094379124341003,92.5,0.7781512503836436,0,1,0
1149914067,1,3,1.0986122886681098,87.5,0.47712125471966244,0,0.6666666666666666,0
1150928257,1,1,0,90,0.3010299956639812,0,1,0
1150928265,1,16,2.772588722239781,90,1.146128035678238,0,0.8125,0
1150928269,1,4,1.3862943611198906,84.25,0.6020599913279624,0.3010299956639812,0.75,0.25
1150928277,1,12,2.4849066497880004,86.05555555555556,0.9542425094393249,0.3010299956639812,0.6666666666666666,0.08333333333333333
1150928279,1,31,3.4339872044851463,77.52083333333333,1.3617278360175928,0.47712125471966244,0.7096774193548387,0.06451612903225806
1150928283,1,4,1.3862943611198906,90.625,0.6989700043360189,0,1,0
1150928287,1,2,0.6931471805599453,87.5,0.47712125471966244,0,1,0
1150928291,1,10,2.302585092994046,95,0.7781512503836436,0,0.5,0
1150928297,1,5,1.6094379124341003,81.66666666666667,0.47712125471966244,0.3010299956639812,0.4,0.2
1150928299,1,21,3.044522437723423,98.83333333333333,1.2041199826559248,0,0.7142857142857143,0
1150928301,1,9,2.1972245773362196,76.38888888888889,1,0,1,0
1150928303,1,56,4.02535169073515,95.02830188679245,1.724275869600789,0.3010299956639812,0.9285714285714286,0.017857142857142856
1150928305,1,49,3.8918202981106265,89.92647058823529,1.5314789170422551,0.3010299956639812,0.673469387755102,0.02040816326530612
1150928315,1,3,1.0986122886681098,90,0.6020599913279624,0,1,0
1150928325,1,5,1.6094379124341003,NaN,0,0,0,0
1150928339,1,1,0,NaN,0,0,0,0
1150928343,1,96,4.564348191467836,77.0945945945946,1.792391689498254,1.146128035678238,0.6354166666666666,0.13541666666666666
1150928345,1,22,3.091042453358316,95.16666666666667,1.2041199826559248,0,0.6818181818181818,0
1150928359,1,5,1.6094379124341003,63.625,0.6020599913279624,0.3010299956639812,0.6,0.2
1150928363,1,103,4.634728988229636,83.33333333333333,1.4313637641589874,0.3010299956639812,0.2524271844660194,0.009708737864077669
1150928369,1,7,1.9459101490553132,86.66666666666667,0.6020599913279624,0,0.42857142857142855,0
1150928371,1,3,1.0986122886681098,82.33333333333333,0.47712125471966244,0.3010299956639812,0.6666666666666666,0.3333333333333333
1150928401,1,24,3.1780538303479458,90.625,1.3979400086720377,0,1,0
1150928413,1,54,3.9889840465642745,67.40384615384616,1.3424226808222062,1.505149978319906,0.3888888888888889,0.5740740740740741
1150928419,1,5,1.6094379124341003,90,0.7781512503836436,0,1,0
1150928421,1,74,4.30406509320417,85.70833333333333,1.6720978579357175,0.47712125471966244,0.6216216216216216,0.02702702702702703
1150928431,1,15,2.70805020110221,84.27272727272727,1,0.47712125471966244,0.6,0.13333333333333333
1150928433,1,44,3.784189633918261,79.73529411764706,1.462397997898956,0.8450980400142568,0.6363636363636364,0.13636363636363635
1150928437,1,5,1.6094379124341003,93.125,0.6989700043360189,0,0.8,0
1150928439,1,25,3.2188758248682006,93.1,1.3222192947339193,0,0.8,0
1150928453,1,25,3.2188758248682006,91,1.414973347970818,0,1,0
1150928457,1,158,5.062595033026967,87.01953125,2.0827853703164503,0.9542425094393249,0.759493670886076,0.05063291139240506
1150928463,1,34,3.5263605246161616,96.07142857142857,0.9030899869919435,0,0.20588235294117646,0
1150928465,1,47,3.8501476017100584,92.9888888888889,1.6434526764861874,0.47712125471966244,0.9148936170212766,0.0425531914893617
1150928475,1,12,2.4849066497880004,90,0.9542425094393249,0,0.6666666666666666,0
1150928479,1,2,0.6931471805599453,82.5,0.3010299956639812,0,0.5,0
1150928507,1,1,0,NaN,0,0,0,0
1150928515,1,5,1.6094379124341003,95.5,0.7781512503836436,0,1,0
1150928521,1,2,0.6931471805599453,NaN,0,0,0,0
1150928523,1,1,0,100,0.3010299956639812,0,1,0
1150928525,1,24,3.1780538303479458,84.5,1.3222192947339193,0.6020599913279624,0.8333333333333334,0.125
1150928529,1,3,1.0986122886681098,85.83333333333333,0.6020599913279624,0,1,0
