user_id,compliance_check,timestamp
v0Bp6dbpffyLT5,1,1593133355636
1413056193,0,1591034351069
v0FB1kbpHlzZQ5,1,1591205713261
151081518,0,1591034005157
v0FB1kbpHlzZQ5,1,1593175312067
745540968,0,1591034259054
v0FgH2lp1FGVP5,1,1591305709201
None,0,1591478247538
v0FgH2lp1FGVP5,1,1593149343164
None,0,1592932539459
v0G5gngpW1pHg5,1,1591358173276
None,1,1592933448978
v0G5gngpW1pHg5,0,1593131666849
None,1,1593029289100
v0GbG2npVtFtK5,0,1591361090531
None,1,1593030941101
v0GbG2npVtFtK5,0,1593263465819
None,1,1593034196202
v0GvjBlpNYbRc5,0,1591371235009
None,1,1593034258652
v0GvjBlpNYbRc5,0,1593123942038
None,1,1593034381746
v0Hfw0PpRyDQZ5,1,1591242836054
None,0,1593037470617
v0Hfw0PpRyDQZ5,1,1593221788559
None,0,1593040980601
v0Bp6dbpffyLT5,1,1591443310301
control_check_1,0,1590671292667
v0J9Qp8pqNkWb5,0,1591475113655
edge_1,0,1590364132308
v0J9Qp8pqNkWb5,0,1593162376017
null,0,1590671148325
v0JGc1ZpvN90K5,1,1591368440583
null,0,1591366834010
v0JGc1ZpvN90K5,1,1591368456063
null,0,1591368350081
v0JGc1ZpvN90K5,1,1593291119813
null,0,1591451732211
v0JLwBjptxmH95,1,1591465553541
null,0,1591455259186
v0JLwBjptxmH95,1,1591465581881
null,0,1591494116989
v0JLwBjptxmH95,1,1591540546922
null,0,1591501283084
v0JLwBjptxmH95,1,1591579057322
null,0,1591540904534
v0JLwBjptxmH95,1,1591618575117
null,0,1591980570568
v0JLwBjptxmH95,1,1591639508143
null,0,1591980673104
v0JLwBjptxmH95,1,1591656079202
null,0,1592368795099
v0JLwBjptxmH95,1,1593147732646
test_2,0,1590364144716
v0JSpFWpr1hpn5,1,1591453453953
test_link,0,1592932512808
v0Bzhh2pnNB3p5,1,1591364985010
v02Mdg0pMG4nG5,1,1591128043051
v0CZ73VpvT9yR5,1,1591652098657
v02Y9Pjpl3GPC5,1,1591409483827
v0CZ73VpvT9yR5,1,1593124096244
v02Y9Pjpl3GPC5,1,1593231683164
v0Ck5qxpYfpGQ5,1,1591322101436
v04qYk6p0fcqV5,0,1591367738928
v0Ck5qxpYfpGQ5,0,1593162025818
v04qYk6p0fcqV5,0,1593149064930
v0CnzXvpW33XQ5,0,1591356723310
v09DLVwp3x41Q5,1,1591334563441
v0CnzXvpW33XQ5,0,1593187767104
v09DLVwp3x41Q5,0,1593206667067
v0CnzXvpW33XQ5,0,1593187813034
v09sx98p10mQC5,1,1591336808749
v0DGsg4p9wnt45,0,1591378760600
v09sx98p10mQC5,1,1593154046434
v0DGsg4p9wnt45,0,1593135440846
v0BZPLhp5cM0B5,0,1591363581383
v0Dct8Xpn96gp5,1,1591343401446
v0BZPLhp5cM0B5,0,1593129909610
v0Bzhh2pnNB3p5,0,1593184994651
v0Dct8Xpn96gp5,1,1593133551003
v0CL4Lkpc6XGy5,1,1591372231327
v0F7YGtpMP0NK5,1,1591351180839
v0CL4Lkpc6XGy5,1,1593111770196
v0F7YGtpMP0NK5,1,1593168986247
v0JSpFWpr1hpn5,1,1593119625716
v0JtsVHp2vWYl5,1,1591318842806
v0JtsVHp2vWYl5,1,1593175845267
v0K6NYwpNJrM55,1,1591394051674
v0K6NYwpNJrM55,1,1593129722173
v0KWyVXp6qz2w5,0,1591386498799
v0KWyVXp6qz2w5,0,1593121456715
v0KWyVXp6qz2w5,0,1593121474001
v0KbxJRpk3cmd5,1,1591683437167
v0KbxJRpk3cmd5,1,1593121339856
v0Kq4y0pN4mfq5,1,1591376098384
v0Kq4y0pN4mfq5,0,1593262592295
v0M0Llyp9ndxb5,1,1591364613057
v0M6gDQpZqywY5,0,1591377578802
v0M6gDQpZqywY5,0,1593146109437
v0MM0MypWg5p85,1,1591558186489
v0MT0m6p4Kp0d5,0,1591546384340
v0MT0m6p4Kp0d5,1,1591546914304
v0MT0m6p4Kp0d5,0,1593219726338
v0N5YCmpxd9X25,0,1591404020602
v0N5YCmpxd9X25,0,1593134753021
v0N9BKjp1XT355,1,1591413802272
v0N9BKjp1XT355,0,1593194211270
v0NHsXzp3dWVt5,1,1591567885728
v0NHsXzp3dWVt5,1,1593187758235
v0Qt56Jp5X5dW5,1,1591369301285
v0Qt56Jp5X5dW5,1,1593123292851
v0RLZH5phVGkz5,0,1591402459102
v0RLZH5phVGkz5,0,1593177101512
v0RW12Qp189Y75,1,1591058343325
v0RW12Qp189Y75,1,1593174969167
v0S9KDPpZwgzB5,1,1591340025052
v0TFV9Bp4Scpf5,0,1591671374596
v0TvXnqp6cynF5,1,1591402964241
v0TvXnqp6cynF5,1,1593131235309
v0V5nQgpDrjKw5,1,1591630290398
v0V5nQgpDrjKw5,1,1593549912776
v0V5nQgpDrjKw5,1,1593549940627
v0VZl1gpK0CqH5,1,1591308965543
v0VZl1gpK0CqH5,1,1593123463981
v0VZl1gpK0CqH5,1,1593123498166
v0VZl1gpK0CqH5,1,1593123555040
v0VZl1gpK0CqH5,1,1593123590218
v0VZl1gpK0CqH5,1,1593125356314
v0VZl1gpK0CqH5,1,1593229758556
v0VZl1gpK0CqH5,1,1593234600194
v0VZl1gpK0CqH5,1,1593388542348
v0VZl1gpK0CqH5,1,1593388871981
v0VZl1gpK0CqH5,1,1593396515371
v0VZl1gpK0CqH5,1,1593474127843
v0W38ZlpSjq2w5,1,1591309276330
v0WTG2Lp6P7pZ5,0,1591624041878
v0WTG2Lp6P7pZ5,0,1593451402776
v0Wb9YhpDfNrv5,0,1591212639144
v0Wb9YhpDfNrv5,0,1593122660477
v0Wvx4JprRksb5,1,1591326328919
v0Xhd75pGm3M35,1,1591336532494
v0ZTTbspXwMZF5,0,1591570418904
v0ZTTbspXwMZF5,0,1593129377952
v0bJ2SMpNjjzy5,0,1593122849988
v0dp6KXpKY8RP5,1,1591098426803
v0dp6KXpKY8RP5,1,1593171331693
v0f0SYsp4DLfL5,0,1590753290931
v0f0SYsp4DLfL5,0,1593128557817
v0fm9MtpvQqCK5,0,1591397092451
v0fm9MtpvQqCK5,0,1593134506317
v0g90crpwVYpX5,0,1591382076755
v0g90crpwVYpX5,0,1593211797341
v0g90crpwVYpX5,0,1593211855147
v0g90crpwVYpX5,0,1593211867418
v0gBTyxpPKQcV5,1,1590716828635
v0gBTyxpPKQcV5,1,1593122832568
v0gFGbrp6sT155,1,1590812568613
v0gFGbrp6sT155,0,1593147489561
v0hJWQKp9lY1W5,0,1591467622291
v0hJWQKp9lY1W5,0,1593179956347
v0hP62Dp19dWn5,0,1591325601217
v0kMc6cpRG6PX5,0,1591363709699
v0kMc6cpRG6PX5,1,1591363817289
v0kMc6cpRG6PX5,1,1593176234441
v0kMc6cpRG6PX5,1,1593176327277
v0kMc6cpRG6PX5,1,1593176375382
v0kMc6cpRG6PX5,1,1593176501662
v0kNgdypxryg45,0,1591366675478
v0kNgdypxryg45,0,1593179736111
v0kPDxdpRGpKd5,1,1591357444365
v0kPDxdpRGpKd5,1,1593282081315
v0kYd1RphcgsC5,1,1591325258570
v0kYd1RphcgsC5,1,1593188437056
v0ljd0SpS0TXs5,1,1591741463618
v0n3VnBpKVzWF5,1,1591321466897
v0n3VnBpKVzWF5,1,1593133165512
v0nb2qTpBXg0g5,1,1591743170236
v0qSK6lply5Vr5,1,1591620509810
v0qSK6lply5Vr5,1,1593414751075
v0rrzF1pxQTmh5,0,1591305407351
v0rrzF1pxQTmh5,0,1591305427645
v0rrzF1pxQTmh5,0,1593181647076
v0rrzF1pxQTmh5,0,1593181665778
v0rwm9xpqmdmy5,1,1591356950677
v0s0n2rpSVv8S5,0,1590715496640
v0sZd4JpXzlhr5,1,1591377647409
v0sZd4JpXzlhr5,1,1593219509503
v0tnDN6pW87gT5,1,1591377824803
v0v3fPdpjZ3p55,0,1591375577556
v0v3fPdpjZ3p55,0,1593128158900
v0vDRdwpMQZpD5,1,1591057233745
v0vDRdwpMQZpD5,1,1593124184473
v0vDRdwpMQZpD5,1,1593124218172
v0vDRdwpMQZpD5,1,1593124296638
v0vDRdwpMQZpD5,0,1593217854868
v0vSv4XpCbV2g5,0,1591364329214
v0vSv4XpCbV2g5,0,1593178785948
v0vtbJspbmD1z5,0,1591378701222
v0vtbJspbmD1z5,0,1593280194120
v0vvXgLpZZlF65,1,1591361030886
v0vvXgLpZZlF65,1,1593123690521
v0w47S0p7CFMQ5,1,1591466496899
v0w47S0p7CFMQ5,1,1593133274396
v0wPxN5pLgrVV5,1,1591384243617
v0wPxN5pLgrVV5,1,1593170881523
v0wl75npPgmFl5,1,1591395644761
v0wl75npPgmFl5,1,1593124661945
v0xKkJ4p7mLLC5,1,1591357256237
v0xKkJ4p7mLLC5,1,1593177807699
v0yf3Ygp7BbDn5,1,1591354117155
