caseid,totalnewsbinary_dv_All_ref,totalnewscount_dv_All_ref,log_news_dv_All_ref,Average_domain_NewsG_Score_dv_All_ref,Count_Reliable_NewsG_Score_dv_All_ref,Count_Unreliable_NewsG_Score_dv_All_ref,Prop_Reliable_NewsG_Score_dv_All_ref,Prop_Unreliable_NewsG_Score_dv_All_ref
1147325327,1,111,4.709530201312334,68.87113402061856,1.8573324964312685,1.4313637641589874,0.6396396396396397,0.23423423423423423
1147357513,1,256,5.545177444479562,92.63571428571429,1.845098040014257,0.3010299956639812,0.26953125,0.00390625
1147357933,1,15,2.70805020110221,89.28571428571429,0.9030899869919435,0,0.4666666666666667,0
1149913275,1,13,2.5649493574615367,91.5,0.7781512503836436,0,0.38461538461538464,0
1149913277,1,11,2.3978952727983707,88.86363636363636,1.0791812460476249,0,1,0
1149913281,1,2,0.6931471805599453,95,0.47712125471966244,0,1,0
1149913289,1,4,1.3862943611198906,96.875,0.6989700043360189,0,1,0
1149913291,1,27,3.295836866004329,88.36,1.380211241711606,0.47712125471966244,0.8518518518518519,0.07407407407407407
1149913297,1,10,2.302585092994046,93.92857142857143,0.9030899869919435,0,0.7,0
1149913303,1,49,3.8918202981106265,95.95652173913044,1.6720978579357175,0,0.9387755102040817,0
1149913313,1,18,2.8903717578961645,94.16666666666667,1.2787536009528289,0,1,0
1149913315,1,10,2.302585092994046,88.125,0.9542425094393249,0,0.8,0
1149913325,1,11,2.3978952727983707,94.375,0.6989700043360189,0,0.36363636363636365,0
1149913335,1,143,4.962844630259907,91.75531914893617,1.6812412373755872,0,0.32867132867132864,0
1149913353,1,211,5.351858133476067,90.09580838323353,2.2174839442139063,0.6020599913279624,0.7772511848341233,0.014218009478672985
1149913361,1,40,3.6888794541139363,89.71621621621621,1.5797835966168101,0,0.925,0
1149913369,1,115,4.74493212836325,90.93577981651376,2.0253058652647704,0.6989700043360189,0.9130434782608695,0.034782608695652174
1149913371,1,1,0,90,0.3010299956639812,0,1,0
1149913373,1,26,3.258096538021482,94.0909090909091,1.3617278360175928,0,0.8461538461538461,0
1149913377,1,677,6.517671272912275,90.61411764705882,2.6180480967120925,1.0791812460476249,0.6115214180206795,0.01624815361890694
1149913387,1,2,0.6931471805599453,93.75,0.47712125471966244,0,1,0
1149913393,1,5,1.6094379124341003,89.375,0.6989700043360189,0,0.8,0
1149913395,1,22,3.091042453358316,91.07142857142857,1.1760912590556813,0,0.6363636363636364,0
1149913397,1,62,4.127134385045092,90.93333333333334,1.6434526764861874,0.47712125471966244,0.6935483870967742,0.03225806451612903
1149913399,1,206,5.327876168789581,59.56377551020408,2.089905111439398,1.8750612633917,0.5922330097087378,0.3592233009708738
1149913409,1,5,1.6094379124341003,90.625,0.6989700043360189,0,0.8,0
1149913413,1,6,1.791759469228055,95.5,0.7781512503836436,0,0.8333333333333334,0
1149913415,1,19,2.9444389791664403,86.54545454545455,1.0413926851582251,0.3010299956639812,0.5263157894736842,0.05263157894736842
1149913417,1,46,3.828641396489095,92.44186046511628,1.6232492903979006,0.47712125471966244,0.8913043478260869,0.043478260869565216
1149913421,1,15,2.70805020110221,92.5,1.1760912590556813,0,0.9333333333333333,0
1149913427,1,91,4.51085950651685,90.47916666666667,1.8573324964312685,0.3010299956639812,0.7802197802197802,0.01098901098901099
1149913433,1,499,6.212606095751519,91.2240663900415,2.683947130751512,0,0.9659318637274549,0
1149913435,1,1,0,82.5,0.3010299956639812,0,1,0
1149913439,1,12,2.4849066497880004,100,0.3010299956639812,0,0.08333333333333333,0
1149913441,1,11,2.3978952727983707,88.92857142857143,0.9030899869919435,0,0.6363636363636364,0
1149913443,1,52,3.9512437185814275,93.54166666666667,1.1139433523068367,0,0.23076923076923078,0
1149913445,1,217,5.37989735354046,71.33658536585367,2.305351369446624,0.6989700043360189,0.9262672811059908,0.018433179723502304
1149913453,1,38,3.6375861597263857,89.7,1.414973347970818,0,0.6578947368421053,0
1149913455,1,489,6.192362489474872,64.98,2.5390760987927767,2.1172712956557644,0.7055214723926381,0.2658486707566462
1149913467,1,32,3.4657359027997265,93.125,0.6989700043360189,0,0.125,0
1149913475,1,8,2.0794415416798357,86.78571428571429,0.9030899869919435,0,0.875,0
1149913477,1,57,4.04305126783455,91.69642857142857,1.7558748556724915,0,0.9824561403508771,0
1149913483,1,19,2.9444389791664403,91.25,1.2787536009528289,0,0.9473684210526315,0
1149913511,1,64,4.1588830833596715,90.025,1.6020599913279623,0.3010299956639812,0.609375,0.015625
1149913513,1,1,0,92.5,0.3010299956639812,0,1,0
1149913517,1,3,1.0986122886681098,87.5,0.6020599913279624,0,1,0
1149913519,1,342,5.834810737062605,88.62637362637362,1.9637878273455553,0,0.26608187134502925,0
1149913549,1,1,0,NaN,0,0,0,0
1149913569,1,39,3.6635616461296463,92,0.7781512503836436,0,0.1282051282051282,0
1149913575,1,4,1.3862943611198906,87.5,0.47712125471966244,0,0.5,0
1149913577,1,52,3.9512437185814275,90.84146341463415,1.6127838567197355,0.3010299956639812,0.7692307692307693,0.019230769230769232
1149913583,1,13,2.5649493574615367,76,0.47712125471966244,0,0.15384615384615385,0
1149913591,1,57,4.04305126783455,83.07692307692308,1.4771212547196624,1.0413926851582251,0.5087719298245614,0.17543859649122806
1149913703,1,1336,7.197435354096591,90.92879137798306,3.1136091510730277,0.3010299956639812,0.9715568862275449,7.485029940119761e-4
1149913737,1,2,0.6931471805599453,87.5,0.47712125471966244,0,1,0
1149913749,1,147,4.990432586778736,95,0.8450980400142568,0,0.04081632653061224,0
1149913763,1,21,3.044522437723423,88.33333333333333,1.3424226808222062,0,1,0
1149913777,1,2,0.6931471805599453,NaN,0,0,0,0
1149913781,1,17,2.833213344056216,94.10714285714286,1.1760912590556813,0,0.8235294117647058,0
1149913783,1,1,0,NaN,0,0,0,0
1149913805,1,21,3.044522437723423,97.5,0.47712125471966244,0,0.09523809523809523,0
1149913837,1,32,3.4657359027997265,93.79310344827586,1.4771212547196624,0,0.90625,0
1149913839,1,5,1.6094379124341003,96,0.7781512503836436,0,1,0
1149913841,1,2,0.6931471805599453,NaN,0,0,0,0
1149913855,1,10,2.302585092994046,45.666666666666664,0.3010299956639812,0.47712125471966244,0.1,0.2
1149913861,1,3,1.0986122886681098,90,0.6020599913279624,0,1,0
1149913865,1,10,2.302585092994046,89.25,1.0413926851582251,0,1,0
1149913897,1,9,2.1972245773362196,93,0.7781512503836436,0,0.5555555555555556,0
1149913909,1,160,5.075173815233827,53.4,1.2304489213782739,1.3979400086720377,0.1,0.15
1149913935,1,197,5.2832037287379885,NaN,0,0,0,0
1149913937,1,23,3.1354942159291497,90,1.3424226808222062,0,0.9130434782608695,0
1149913979,1,11,2.3978952727983707,95,0.8450980400142568,0,0.5454545454545454,0
1149914039,1,36,3.58351893845611,93.73611111111111,1.568201724066995,0,1,0
1149914067,1,74,4.30406509320417,89.4186046511628,1.6434526764861874,0,0.581081081081081,0
1150928257,1,2,0.6931471805599453,90,0.47712125471966244,0,1,0
1150928263,1,1,0,NaN,0,0,0,0
1150928265,1,19,2.9444389791664403,88.125,1.2304489213782739,0,0.8421052631578947,0
1150928269,1,12,2.4849066497880004,93.81818181818181,1.0413926851582251,0.3010299956639812,0.8333333333333334,0.08333333333333333
1150928277,1,12,2.4849066497880004,86.05555555555556,0.9542425094393249,0.3010299956639812,0.6666666666666666,0.08333333333333333
1150928279,1,31,3.4339872044851463,77.52083333333333,1.3617278360175928,0.47712125471966244,0.7096774193548387,0.06451612903225806
1150928283,1,15,2.70805020110221,92.83333333333333,1.2041199826559248,0,1,0
1150928287,1,5,1.6094379124341003,91.66666666666667,0.6020599913279624,0,0.6,0
1150928291,1,10,2.302585092994046,95,0.7781512503836436,0,0.5,0
1150928297,1,30,3.4011973816621555,81.28571428571429,1.380211241711606,0.7781512503836436,0.7666666666666667,0.16666666666666666
1150928299,1,24,3.1780538303479458,98.67647058823529,1.255272505103306,0,0.7083333333333334,0
1150928301,1,15,2.70805020110221,78.86363636363636,1.0791812460476249,0,0.7333333333333333,0
1150928303,1,65,4.174387269895637,95.26612903225806,1.792391689498254,0.3010299956639812,0.9384615384615385,0.015384615384615385
1150928305,1,85,4.442651256490317,91.47321428571429,1.7481880270062005,0.3010299956639812,0.6470588235294118,0.011764705882352941
1150928315,1,5,1.6094379124341003,90,0.7781512503836436,0,1,0
1150928319,1,1,0,NaN,0,0,0,0
