caseid,totalnewsbinary_SM_ref,totalnewscount_SM_ref,log_news_SM_ref,Average_domain_NewsG_Score_SM_ref,Count_Reliable_NewsG_Score_SM_ref,Count_Unreliable_NewsG_Score_SM_ref,Prop_Reliable_NewsG_Score_SM_ref,Prop_Unreliable_NewsG_Score_SM_ref
1147325327,1,46,3.828641396489095,71.53571428571429,1.5563025007672873,0.9030899869919435,0.7608695652173914,0.15217391304347827
1147357513,1,48,3.871201010907891,80,0.3010299956639812,0,0.020833333333333332,0
1149913275,1,1,0,87.5,0.3010299956639812,0,1,0
1149913277,1,5,1.6094379124341003,87.5,0.7781512503836436,0,1,0
1149913291,1,15,2.70805020110221,78.96153846153847,1.0791812460476249,0.47712125471966244,0.7333333333333333,0.13333333333333333
1149913297,1,3,1.0986122886681098,87.5,0.3010299956639812,0,0.3333333333333333,0
1149913303,1,7,1.9459101490553132,97.85714285714286,0.9030899869919435,0,1,0
1149913313,1,1,0,82.5,0.3010299956639812,0,1,0
1149913315,1,7,1.9459101490553132,92.5,0.6989700043360189,0,0.5714285714285714,0
1149913335,1,40,3.6888794541139363,91.30952380952381,1.3424226808222062,0,0.525,0
1149913353,1,77,4.343805421853684,88.98333333333333,1.7853298350107671,0,0.7792207792207793,0
1149913369,1,38,3.6375861597263857,88.671875,1.505149978319906,0.3010299956639812,0.8157894736842105,0.02631578947368421
1149913371,1,1,0,90,0.3010299956639812,0,1,0
1149913375,1,34,3.5263605246161616,92.5,1.3424226808222062,0,0.6176470588235294,0
1149913377,1,162,5.087596335232384,91.38333333333334,2.0681858617461617,0.6989700043360189,0.7160493827160493,0.024691358024691357
1149913395,1,17,2.833213344056216,91.5,0.7781512503836436,0,0.29411764705882354,0
1149913397,1,23,3.1354942159291497,86.02380952380952,1.3010299956639813,0.47712125471966244,0.8260869565217391,0.08695652173913043
1149913399,1,101,4.61512051684126,60.207070707070706,1.7993405494535817,1.5797835966168101,0.6138613861386139,0.36633663366336633
1149913405,1,3,1.0986122886681098,87.5,0.3010299956639812,0,0.3333333333333333,0
1149913409,1,3,1.0986122886681098,88.33333333333333,0.6020599913279624,0,1,0
1149913415,1,12,2.4849066497880004,89.27272727272727,1.0791812460476249,0,0.9166666666666666,0
1149913417,1,20,2.995732273553991,94.73684210526316,1.3010299956639813,0,0.95,0
1149913421,1,5,1.6094379124341003,100,0.6020599913279624,0,0.6,0
1149913427,1,16,2.772588722239781,91.5625,0.9542425094393249,0,0.5,0
1149913433,1,90,4.499809670330265,90.19886363636364,1.9493900066449128,0,0.9777777777777777,0
1149913439,1,3,1.0986122886681098,94.16666666666667,0.6020599913279624,0,1,0
1149913441,1,10,2.302585092994046,97.5,0.9030899869919435,0,0.7,0
1149913443,1,10,2.302585092994046,95,0.3010299956639812,0,0.1,0
1149913445,1,137,4.919980925828125,71.2956204379562,2.1398790864012365,0,1,0
1149913455,1,120,4.787491742782046,63.8716814159292,1.9030899869919435,1.5440680443502757,0.6583333333333333,0.2833333333333333
1149913475,1,12,2.4849066497880004,84.28571428571429,0.8450980400142568,0.3010299956639812,0.5,0.08333333333333333
1149913477,1,35,3.5553480614894135,92.42424242424242,1.5314789170422551,0,0.9428571428571428,0
1149913483,1,7,1.9459101490553132,89.64285714285714,0.9030899869919435,0,1,0
1149913511,1,2,0.6931471805599453,100,0.47712125471966244,0,1,0
1149913513,1,1,0,62,0.3010299956639812,0,1,0
1149913519,1,134,4.897839799950911,93.75,1.5440680443502757,0,0.2537313432835821,0
1149913549,1,2,0.6931471805599453,59.75,0.3010299956639812,0.3010299956639812,0.5,0.5
1149913569,1,21,3.044522437723423,NaN,0,0,0,0
1149913583,1,12,2.4849066497880004,95,0.47712125471966244,0,0.16666666666666666,0
1149913591,1,4,1.3862943611198906,64.66666666666667,0.3010299956639812,0.47712125471966244,0.25,0.5
1149913635,1,5,1.6094379124341003,NaN,0,0,0,0
1149913703,1,444,6.095824562432225,91.05681818181819,2.6444385894678386,0,0.990990990990991,0
1149913749,1,133,4.890349128221754,91.66666666666667,0.6020599913279624,0,0.022556390977443608,0
1149913763,1,19,2.9444389791664403,87.76315789473684,1.3010299956639813,0,1,0
1149913765,1,1,0,100,0.3010299956639812,0,1,0
1149913777,1,1,0,NaN,0,0,0,0
1149913837,1,6,1.791759469228055,90,0.7781512503836436,0,0.8333333333333334,0
1149913841,1,1,0,90,0.3010299956639812,0,1,0
1149913861,1,2,0.6931471805599453,88.75,0.47712125471966244,0,1,0
1149913865,1,2,0.6931471805599453,90,0.47712125471966244,0,1,0
1149913897,1,1,0,NaN,0,0,0,0
1149913909,1,15,2.70805020110221,96.875,0.6989700043360189,0,0.26666666666666666,0
1149913935,1,130,4.867534450455582,NaN,0,0,0,0
1149913937,1,5,1.6094379124341003,81,0.7781512503836436,0,1,0
1149913979,1,6,1.791759469228055,67.5,0.47712125471966244,0.3010299956639812,0.3333333333333333,0.16666666666666666
1149914067,1,1,0,NaN,0,0,0,0
1150928257,1,1,0,90,0.3010299956639812,0,1,0
1150928265,1,21,3.044522437723423,86.11111111111111,1.255272505103306,0.3010299956639812,0.8095238095238095,0.047619047619047616
1150928269,1,5,1.6094379124341003,68.4,0.6989700043360189,0.3010299956639812,0.8,0.2
1150928277,1,1,0,95,0.3010299956639812,0,1,0
1150928279,1,19,2.9444389791664403,74.92857142857143,1.1139433523068367,0.47712125471966244,0.631578947368421,0.10526315789473684
1150928283,1,2,0.6931471805599453,93.75,0.47712125471966244,0,1,0
1150928287,1,1,0,100,0.3010299956639812,0,1,0
