caseid,totalnewsbinary,totalnewscount,totalnewsduration,log_news,totalvisits,log_total,total_news_score_duration,Average_domain_NewsG_Score,Count_Reliable_NewsG_Score,Count_Unreliable_NewsG_Score,Prop_Reliable_NewsG_Score,Prop_Unreliable_NewsG_Score,partisanship_news_diet,Prop_Reliable_NewsG_Score_dur,Prop_Unreliable_NewsG_Score_dur,Count_Unreliable_NewsG_Score_dur,Count_Reliable_NewsG_Score_dur,Average_domain_NewsG_Score_dur
1147325327,1,446,25729,6.100318952020064,4826,8.481773246184977,25222,71.84191176470588,2.534026106056135,1.8325089127062364,0.7645739910313901,0.15022421524663676,1.2317862186628854,0.7406039877181391,0.23969062147770998,6167,19055,62.89764887796368
1147338125,1,24,573,3.1780538303479458,1579,7.364547014255642,129,90,0.47712125471966244,0,0.08333333333333333,0,NaN,0.225130890052356,0,0,129,90
1147357513,1,1542,33603,7.340835554123275,5569,8.624970783589669,4222,87.40186915887851,2.03342375548695,0,0.06939040207522698,0,-0.45696110410150403,0.12564354373121447,0,0,4222,85.23732828043582
1147357933,1,42,830,3.7376696182833684,2403,7.784473235736469,29,95.3125,0.9542425094393249,0,0.19047619047619047,0,0.655300204878392,0.03493975903614458,0,0,29,91.8103448275862
1149913275,1,525,111726,6.263398262591624,2356,7.764720544771477,19218,87.95045045045045,2.0492180226701815,0,0.21142857142857144,0,-0.12040244981368894,0.1720100961280275,0,0,19218,87.64179415131647
1149913277,1,66,680,4.189654742026425,662,6.495265555937008,616,88.65384615384616,1.8195439355418688,0,0.9848484848484849,0,-0.28353015937470705,0.9058823529411765,0,0,616,87.46753246753246
1149913281,1,433,14877,6.07073772800249,2937,7.98514393119862,14867,86.7308584686775,2.595496221825574,1.591064607026499,0.9076212471131639,0.08775981524249422,-0.9357135433989464,0.8493647912885662,0.14996303018081603,2231,12636,84.57721799959643
1149913289,1,195,31505,5.272999558563747,785,6.665683717782408,30120,96.9311377245509,2.225309281725863,0,0.8564102564102564,0,-0.48562571840511237,0.9560387240120616,0,0,30120,99.04382470119522
1149913291,1,178,19408,5.181783550292085,2775,7.928406026180535,14917,89.36,2.1702617153949575,0.6020599913279624,0.8258426966292135,0.016853932584269662,-0.6179267248484428,0.7583470733718054,0.010253503709810388,199,14718,90.63913655560769
1149913295,0,0,0,-Inf,8,2.0794415416798357,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN
1149913297,1,191,5340,5.25227342804663,2621,7.8713112033234065,4700,93.34857142857143,2.225309281725863,0.9542425094393249,0.8743455497382199,0.041884816753926704,-0.9171829853791441,0.8451310861423221,0.0350187265917603,187,4513,92.31042553191489
1149913303,1,300,10180,5.703782474656201,6370,8.759354748566208,9130,95.13829787234043,2.3729120029701067,0,0.7833333333333333,0,NaN,0.8968565815324165,0,0,9130,96.84173055859803
1149913313,1,40,6637,3.6888794541139363,214,5.365976015021851,6637,89.7375,1.5440680443502757,0.8450980400142568,0.85,0.15,-0.647863722957373,0.8303450354075637,0.16965496459243634,1126,5511,89.79990959770981
1149913315,1,78,4903,4.356708826689592,2041,7.621195162809845,4654,82.09558823529412,1.6989700043360187,1.3010299956639813,0.6282051282051282,0.24358974358974358,-0.6517762322547734,0.6816234958188864,0.26759127065062205,1312,3342,81.15825096691019
1149913325,1,22,1686,3.091042453358316,1517,7.324489979348532,1686,53.40909090909091,0.8450980400142568,1.2304489213782739,0.2727272727272727,0.7272727272727273,1.2656791777290932,0.3612099644128114,0.6387900355871886,1077,609,59.98813760379597
1149913329,1,2,60,0.6931471805599453,17,2.833213344056216,0,NaN,0,0,0,0,NaN,0,0,0,0,NaN
1149913335,1,233,2721,5.4510384535657,4350,8.37793112408273,1031,91.64634146341463,2.093421685162235,0,0.5278969957081545,0,-0.2986482087498102,0.3789048144064682,0,0,1031,92.76188166828322
1149913349,0,0,0,-Inf,79,4.3694478524670215,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN
1149913353,1,791,11462,6.673297967767654,6376,8.760296220470051,4537,90.07491856677524,2.787460474518415,0.47712125471966244,0.7737041719342604,0.0025284450063211127,-0.3129288320933652,0.3951317396614901,6.979584714709475e-4,8,4529,90.33325986334582
1149913361,1,40,1826,3.6888794541139363,223,5.407171771460119,1826,91.2875,1.591064607026499,0.47712125471966244,0.95,0.05,-0.899609231923711,0.9375684556407448,0.0624315443592552,114,1712,90.12212486308871
1149913369,1,299,123084,5.700443573390687,2144,7.670428522190693,96224,91.1800766283525,2.413299764081252,0.6020599913279624,0.862876254180602,0.010033444816053512,-0.3758523819734016,0.7773878002014885,0.004387247733255338,540,95684,91.51027810109744
1149913371,1,7,939,1.9459101490553132,852,6.747586526829315,939,91.07142857142857,0.9030899869919435,0,1,0,NaN,1,0,0,939,90.25292864749734
1149913373,1,452,16318,6.113682179832232,5071,8.531293315795018,14131,92.0379746835443,2.597695185925512,0,0.8738938053097345,0,-0.5388649968587318,0.8659762225762961,0,0,14131,92.60508810416815
