caseid,Google_Search_Referals,Facebook_Time,Twitter_Time,NG_Site_visits
1150928531,54,86.45,NA,5312
1150928533,NA,13.85,NA,21
1150928535,NA,NA,NA,29
1150928539,NA,NA,NA,13
1150928541,NA,18.033333333333335,NA,147
1150928549,NA,NA,NA,25
1150928551,NA,0.08333333333333333,1.8,19
1150928555,10,17.4,NA,1662
1150928563,NA,NA,2.683333333333333,222
1150928565,NA,13.983333333333333,0.8166666666666667,399
1150928567,NA,NA,NA,197
1150928569,NA,0.21666666666666667,NA,31
1150928587,10,10.5,NA,241
1150928589,NA,1.95,NA,49
1150928591,NA,0.11666666666666667,NA,127
1150928593,NA,0.2,NA,18
1150928595,NA,NA,NA,3
1150928599,NA,11.133333333333333,NA,152
1150928603,NA,10.95,NA,151
1150928609,NA,10.866666666666667,0.08333333333333333,708
1150928613,NA,NA,NA,335
1150928621,NA,0.4,NA,191
1150928635,NA,168.08333333333334,22.65,98
1150928639,NA,NA,NA,265
1150928651,NA,58.28333333333333,74.83333333333333,229
1150928655,NA,NA,0.5166666666666667,245
1150928659,NA,NA,NA,12
1150928665,NA,0.48333333333333334,NA,34
1150928669,NA,117.21666666666667,NA,85
1150928675,NA,1.5166666666666666,0.7333333333333333,240
1150928679,NA,2.466666666666667,NA,481
1150928685,NA,3.75,NA,220
1150928695,NA,2.5833333333333335,NA,393
1150928719,NA,23.25,NA,572
1150928727,NA,0.6833333333333333,NA,67
1150928731,NA,29.7,5.766666666666667,304
1150928733,NA,NA,NA,15
1150928737,NA,34.3,NA,851
1150928743,NA,3.4166666666666665,NA,146
1150928745,NA,NA,NA,11
1150928753,NA,NA,NA,2
1150928757,NA,31.366666666666667,NA,408
1150928761,NA,0.05,NA,7
1150928765,NA,106.51666666666667,3.533333333333333,168
1150928769,NA,0.23333333333333334,NA,10
1150928771,NA,6.533333333333333,NA,266
1150928773,NA,0.11666666666666667,NA,22
1150928781,NA,4.45,NA,85
1150928785,NA,0.06666666666666667,NA,47
1150928789,NA,216.05,10.683333333333334,431
1150928791,NA,NA,NA,19
1150928803,NA,0.8,NA,409
1150928807,NA,25.583333333333332,NA,567
1150928811,NA,NA,NA,5
1150928815,NA,NA,NA,34
1150928837,NA,NA,NA,22
1150928839,NA,29.55,NA,49
1150928845,1,0.6,NA,57
1150928849,NA,NA,NA,1
1150928857,NA,8.45,NA,171
1150928865,NA,NA,NA,14
1150928879,NA,34.5,3.05,1344
1150928883,NA,381.03333333333336,93.43333333333334,191
1150928885,NA,NA,NA,45
1150928887,NA,0.25,NA,60
1150928891,NA,NA,NA,191
1150928895,4,NA,NA,56
1150928913,1,10.366666666666667,NA,868
1150928917,NA,0.03333333333333333,NA,114
1150928919,NA,138.66666666666666,21.416666666666668,205
1150928921,NA,23.733333333333334,NA,18
1150928923,1,NA,NA,65
1150928933,NA,NA,NA,3
1150928937,1,7.616666666666666,0.03333333333333333,384
1150928949,7,7.366666666666666,0.5333333333333333,344
1150928951,NA,6.083333333333333,NA,466
1150928955,NA,0.23333333333333334,NA,54
1150928961,NA,10.75,0.016666666666666666,349
1150928967,NA,1.5166666666666666,NA,111
1150928977,3,8.516666666666667,NA,42
1150928981,NA,6.783333333333333,NA,157
1150928985,NA,NA,NA,5
1150928989,NA,27.266666666666666,1.3166666666666667,2104
1150929003,NA,6.15,NA,203
1150929007,3,4.866666666666666,0.05,705
1150929013,NA,40.95,2.45,2061
1150929017,NA,1.4166666666666667,NA,83
1150929025,NA,0.5,NA,11
1150929043,NA,14.95,NA,405
1150929045,NA,5.716666666666667,NA,368
1150929061,NA,7.35,NA,185
1150929063,NA,180.06666666666666,NA,3231
1150929067,NA,NA,NA,364
1150929069,NA,2.1,NA,180
1150929071,NA,21.483333333333334,NA,60
1150929073,NA,NA,3.6,97
1150929075,1,NA,NA,6
1150929089,NA,13.5,NA,173
1150929097,NA,0.26666666666666666,NA,1033
1150929105,NA,NA,NA,3
1150929107,NA,2.183333333333333,NA,129
1150929113,NA,0.4666666666666667,NA,169
1150929127,NA,6.433333333333334,NA,291
1150929129,NA,49.93333333333333,NA,4228
1150929135,NA,0.31666666666666665,NA,329
1150929145,NA,4.166666666666667,NA,118
1150929153,NA,NA,33.9,674
1150929155,6,193.05,NA,311
1150929161,NA,NA,NA,30
1150929165,NA,3.35,6.733333333333333,202
1150929173,NA,2.7333333333333334,NA,38
1150929175,NA,8.1,NA,403
1150929179,NA,6.266666666666667,NA,269
1150929189,6,0.35,NA,85
1150929195,NA,NA,NA,6
1150929199,NA,3.4833333333333334,NA,94
1150929203,NA,NA,NA,22209
1150929215,NA,NA,NA,7
1150929223,NA,11.583333333333334,NA,116
1150929227,NA,NA,NA,8
1150929237,6,15.366666666666667,NA,519
1150929239,NA,NA,NA,8
1150929241,NA,NA,0.13333333333333333,302
1150929249,NA,67.2,NA,239
1150929251,6,16.983333333333334,NA,668
1150929263,2,1.15,NA,98
1150929271,NA,0.4,NA,55
1150929273,NA,0.21666666666666667,NA,124
1150929277,NA,1.4666666666666666,NA,203
1150929297,NA,0.2,NA,137
1150929311,NA,130.55,NA,1443
1150929313,NA,8.233333333333333,NA,663
1150929317,NA,6.916666666666667,NA,334
1150929319,NA,4.15,NA,504
1150929321,NA,0.16666666666666666,NA,20
1150929331,NA,NA,NA,15
1150929337,NA,0.8833333333333333,1.1833333333333333,133
1150929345,NA,0.03333333333333333,NA,9
1150929355,NA,10.616666666666667,NA,358
1150929359,NA,0.5,NA,97
1150929361,NA,0,NA,25
1150929369,NA,NA,NA,51
1150929371,NA,20.666666666666668,NA,40
1150929373,NA,NA,0.8666666666666667,690
1150929375,NA,4.4,NA,490
1150929377,NA,11.6,NA,110
1150929381,NA,NA,NA,68
1150929389,NA,0.8,NA,94
1150929395,NA,NA,NA,19
1150929403,NA,0.65,NA,23
1150929411,NA,136.43333333333334,NA,99
1150929413,NA,6.716666666666667,5.133333333333334,326
1150929415,NA,160.96666666666667,20.033333333333335,265
1150929417,NA,NA,NA,187
1150929419,NA,1.8166666666666667,NA,400
1150929425,NA,NA,NA,52
1150929431,NA,0.9166666666666666,NA,89
1150929439,NA,NA,NA,255
1150929445,NA,NA,1.8166666666666667,472
1150929451,NA,NA,NA,83
1150929455,NA,9.916666666666666,NA,406
1150929463,NA,0.18333333333333332,NA,237
1150929469,NA,25.65,NA,692
1150929473,NA,4.283333333333333,NA,54
1150929481,NA,NA,NA,198
1150929485,NA,NA,0.16666666666666666,172
1150929487,78,52.85,0.8833333333333333,3957
1150929493,NA,25.816666666666666,0.7,764
1150929509,NA,89,0.5833333333333334,820
1150929515,NA,24.983333333333334,0.3333333333333333,796
1150929517,NA,NA,NA,44
1150929525,NA,15.3,NA,279
1150929531,NA,2.966666666666667,NA,87
1150929535,NA,NA,NA,2
1150929537,NA,6.05,NA,240
1150929541,NA,3.7666666666666666,0.75,1618
1150929559,NA,NA,4.033333333333333,131
1150929575,NA,NA,NA,75
1150929577,NA,4.466666666666667,NA,53
1150929619,NA,7.8,NA,395
1150929643,NA,NA,NA,15
1150929651,NA,3.9833333333333334,NA,33
1150929653,NA,NA,NA,38
1150929657,NA,0.16666666666666666,NA,15
1150929665,15,12.15,NA,1064
1150929681,NA,40.233333333333334,5.183333333333334,255
1150929685,NA,NA,NA,47
1150929689,NA,25.566666666666666,NA,641
1150929731,NA,NA,NA,2
1150929733,NA,7.55,NA,499
1150929735,NA,3.6666666666666665,NA,172
1150929739,NA,NA,NA,68
1150929745,NA,NA,NA,37
1150929751,NA,0.35,NA,19
1150929757,NA,3.85,NA,77
1150929763,NA,9.05,NA,65
1150929769,NA,10.05,NA,193
1150929775,NA,3.066666666666667,NA,148
1150929779,NA,0.18333333333333332,NA,25
1150929781,NA,4.633333333333334,NA,41
1150929785,NA,7.716666666666667,0.6833333333333333,2130
1150929799,NA,NA,NA,10
1150929837,NA,3.15,NA,71
1150929839,NA,NA,NA,4
1151615859,4,85.53333333333333,NA,398
1151615863,21,7.833333333333333,NA,1130
1151615867,NA,NA,NA,22
1151615873,NA,12.033333333333333,2.3666666666666667,392
1151615875,NA,4.266666666666667,NA,220
1151615881,NA,NA,NA,80
1151615897,NA,3.1166666666666667,NA,284
1151615901,NA,0.6666666666666666,NA,216
1151615903,NA,23.366666666666667,NA,229
1151615915,NA,NA,NA,2
1151615917,1,4.416666666666667,NA,384
1151615921,NA,NA,3.2666666666666666,390
1151615933,5,108.01666666666667,NA,538
1151615935,NA,NA,NA,4
1151615939,NA,NA,NA,50
1151615947,NA,8.233333333333333,NA,369
1151615949,NA,29.616666666666667,NA,1503
1151615951,51,44,1.4333333333333333,1195
1151615955,NA,0.03333333333333333,NA,28
1151615977,NA,97.81666666666666,NA,50
1151615985,NA,NA,NA,40
1151615993,1,5.433333333333334,0.08333333333333333,430
1151615997,NA,1.1666666666666667,NA,321
1151616007,NA,NA,NA,8
1151616009,NA,NA,NA,46
1151616011,NA,NA,NA,674
1151616019,NA,0.7333333333333333,0.7166666666666667,312
1151616023,NA,5.033333333333333,1.3333333333333333,1368
1151616025,3,12.3,NA,470
1151616041,NA,NA,NA,92
1151616045,NA,1.35,NA,842
1151616061,NA,54.95,NA,97
1151616063,NA,2.283333333333333,NA,173
1151616065,NA,51.516666666666666,NA,88
1151616073,NA,0.55,NA,19
1151616083,NA,0.6333333333333333,NA,92
1151616091,1,1.2833333333333334,1.6833333333333333,300
1151616099,9,14.666666666666666,NA,1268
1151616105,NA,0.38333333333333336,4.433333333333334,96
1151616107,NA,NA,NA,145
1151616109,NA,NA,NA,366
1151616111,NA,140.31666666666666,91.6,472
1151616113,NA,NA,NA,58
1151616125,NA,18.566666666666666,NA,261
1151616131,NA,8.483333333333333,NA,169
1151616145,NA,2.466666666666667,NA,217
1151616155,1,0,NA,48
1151616159,NA,NA,NA,921
1151616163,NA,0.08333333333333333,NA,3
1151616165,NA,18.566666666666666,2.6333333333333333,1105
1151616167,NA,NA,NA,43
1151616169,NA,0.7833333333333333,NA,42
1151616171,NA,2.0166666666666666,19.283333333333335,837
1151616177,NA,1.2833333333333334,NA,613
1151616187,NA,0.2833333333333333,2.7,1030
1151616189,NA,17.25,0.3333333333333333,131
1151616197,NA,45.85,1.8166666666666667,650
1151616207,NA,0.5166666666666667,NA,102
1151616219,NA,24.783333333333335,24.666666666666668,605
1151616221,NA,0.45,NA,112
1151616227,NA,133.83333333333334,NA,251
1151616229,NA,NA,NA,177
1151616245,NA,NA,0.25,157
1151616249,22,3.3333333333333335,0.016666666666666666,532
1151616253,NA,0.016666666666666666,0.13333333333333333,558
1151616255,NA,7.633333333333334,NA,826
1151616261,NA,196.18333333333334,NA,497
1151616267,NA,20.266666666666666,0.8666666666666667,1116
1151616283,NA,0.18333333333333332,NA,96
1151616285,NA,0.25,NA,317
1151616287,NA,NA,NA,168
1151616291,NA,NA,NA,1
1151616293,NA,4.3,NA,31
1151616295,NA,26.166666666666668,NA,74
1151616307,NA,19.1,NA,1167
1151616313,NA,0.5333333333333333,NA,42
1151616321,NA,17.65,NA,94
1151616327,NA,NA,NA,83
1151616333,9,8.066666666666666,NA,835
1151616335,NA,NA,NA,29
1151616349,NA,3.15,NA,344
1151616351,1,2.433333333333333,NA,164
1151616361,NA,12.65,NA,8447
1151616367,NA,0.016666666666666666,NA,51
1151616373,7,3.6166666666666667,0.13333333333333333,164
1151616387,NA,0.31666666666666665,NA,250
1151616391,NA,NA,NA,103
1151616409,NA,922.6833333333333,24.233333333333334,273
1151616421,NA,19.033333333333335,NA,527
1151616425,NA,0.5333333333333333,1.5666666666666667,406
1151616427,NA,NA,NA,43
1151616431,NA,NA,NA,88
1151616433,NA,7.283333333333333,0.23333333333333334,486
1151616435,NA,NA,NA,6
1151616459,NA,111.26666666666667,NA,661
1151616461,NA,6.2,NA,161
1151616463,NA,10.383333333333333,NA,83
1151616471,NA,NA,NA,1
1151616475,NA,4.033333333333333,60.3,618
1151616481,NA,3.6333333333333333,0.9,96
1151616497,NA,NA,0.6833333333333333,181
1151616499,NA,NA,NA,70
1151616501,NA,3.683333333333333,NA,278
1151616523,NA,NA,NA,30
1151616525,NA,NA,NA,1
1151616529,NA,1.1166666666666667,NA,86
1151616535,NA,11.333333333333334,NA,44
1151616541,NA,NA,NA,5
1151616547,NA,NA,NA,29
1151616561,NA,8.483333333333333,NA,125
1151616563,NA,0.05,NA,46
1151616607,NA,NA,NA,1
1151616611,NA,NA,NA,6
1151616613,NA,0.7166666666666667,NA,5
1151616623,NA,49.95,NA,1003
1151616627,NA,NA,0.3,1061
1151616643,NA,9.533333333333333,NA,3
1151616645,NA,0.7833333333333333,NA,40
1151616657,NA,15.316666666666666,NA,210
1151616667,NA,NA,NA,269
1151616673,NA,NA,NA,90
1151616681,NA,NA,NA,567
1151616693,NA,NA,NA,7
1151616701,NA,10.233333333333333,NA,342
1151616709,NA,7.516666666666667,NA,441
1151616717,20,11.233333333333333,1.5333333333333334,664
1151616721,NA,0.45,0.9333333333333333,21
1151616737,NA,NA,NA,14
1151616743,NA,NA,NA,3
1151616753,NA,NA,NA,1990
1151616757,NA,3.2333333333333334,NA,16388
1151616763,NA,2.7,5.716666666666667,100
1151616779,6,15.166666666666666,NA,679
1151616787,NA,99.75,NA,269
1151616797,NA,NA,NA,15
1151616799,NA,0.4,NA,311
1151616809,NA,NA,NA,14
1151616811,3,51.75,NA,267
1151616821,NA,NA,NA,5
1151616825,NA,1.2,NA,53
1151616827,NA,0.016666666666666666,NA,11
1151616837,NA,7.283333333333333,18.1,329
1151616843,2,4,NA,209
1151616849,NA,28.366666666666667,NA,125
1151616851,NA,NA,NA,108
1151616855,NA,NA,NA,12
1151616861,NA,3.4,NA,296
1151616875,NA,3.9833333333333334,NA,391
1151616883,NA,NA,NA,46
1151616899,NA,NA,NA,56
1151616913,NA,0.016666666666666666,NA,80
1151616919,NA,13,NA,482
1151616921,NA,NA,NA,1
1151616939,NA,10.4,NA,154
1151616947,NA,0.6333333333333333,NA,49
1151616955,NA,NA,NA,33
1151616967,NA,0.05,NA,567
1151616969,NA,NA,NA,81
1151616971,NA,1.6666666666666667,NA,12
1151616973,NA,36.4,0.9666666666666667,1088
1151616977,NA,61.03333333333333,NA,313
1151616983,4,3.7333333333333334,NA,129
1151616987,NA,78.53333333333333,2.2,350
1151616993,NA,NA,NA,19
1151616997,NA,3.066666666666667,15.15,237
1151617001,NA,NA,NA,50
1151617011,NA,2.0166666666666666,NA,131
1151617017,NA,10.016666666666667,NA,192
1151617021,NA,1.65,NA,30
1151617023,NA,11.283333333333333,NA,188
1151617025,NA,71.03333333333333,NA,180
1151617031,NA,NA,NA,336
1151617033,NA,NA,NA,3
1151617037,NA,NA,NA,1
1151617039,7,11.333333333333334,NA,494
1151617043,1,71.1,NA,337
1151617049,NA,17.766666666666666,NA,938
1151617053,NA,3.95,0.5333333333333333,402
1151617055,NA,NA,NA,476
1151617079,NA,NA,NA,10
1151617089,NA,NA,NA,6
1151617095,NA,1.7166666666666666,NA,391
1151617105,NA,NA,NA,14
1151617113,NA,197.35,NA,926
1151617115,NA,1.5666666666666667,NA,196
1151617117,NA,NA,NA,31
1151617119,NA,0.3333333333333333,NA,126
1151617127,NA,0.4,NA,372
1151617151,NA,78.88333333333334,NA,407
1151617155,NA,NA,NA,1
1151617161,NA,0.1,NA,4
1151617163,NA,NA,NA,179
1151617185,1,6.65,NA,225
1151617187,NA,NA,NA,120
1151617191,NA,NA,NA,9
1151617209,NA,49.63333333333333,NA,1070
1151617213,NA,NA,NA,26
1151617217,NA,20.033333333333335,NA,236
1151617221,NA,NA,NA,196
1151617223,NA,0.7666666666666667,0.11666666666666667,188
1151617227,NA,0.7333333333333333,NA,9
1151617229,NA,59.233333333333334,NA,372
1151617245,NA,7.466666666666667,NA,643
1151617255,NA,NA,0.7,175
1151617257,NA,NA,0.4166666666666667,521
1151617269,NA,12.75,NA,601
1151617283,NA,NA,NA,25
1151617307,NA,3.3666666666666667,NA,366
1151617317,NA,NA,NA,232
1151617319,NA,2.5,0.85,1620
1151617323,NA,NA,NA,23
1151617327,NA,13.733333333333333,NA,73
1151617329,NA,2.3333333333333335,NA,91
1151617339,NA,2.3833333333333333,NA,109
1151617345,NA,12.916666666666666,54.61666666666667,643
1151617347,NA,NA,NA,12
1151617355,NA,42.016666666666666,NA,65
1151617361,NA,3.183333333333333,1.5666666666666667,305
1151617363,38,18.133333333333333,NA,1313
1151617383,1,12.416666666666666,NA,394
1151617401,NA,9.516666666666667,NA,52
1151617413,NA,24.6,NA,54
1151617423,NA,7.316666666666666,NA,552
1151617427,NA,15.15,34.45,2684
1151617433,NA,NA,NA,1
1151617443,NA,1.2166666666666666,NA,21
1151617461,NA,1.2833333333333334,NA,10
1151617465,NA,NA,NA,691
1151617467,NA,3.2333333333333334,0.016666666666666666,29
1151617469,NA,NA,2.066666666666667,218
1151617485,NA,NA,NA,219
1151617509,NA,NA,NA,18
1151617521,NA,1.9666666666666666,NA,53
1151617529,NA,NA,NA,10
1151617537,NA,0.06666666666666667,NA,6
1151617543,NA,1.2333333333333334,NA,419
1151617553,NA,NA,NA,105
1151617563,NA,NA,NA,6
1151617567,NA,0.016666666666666666,NA,6
1151617577,NA,76.16666666666667,0.31666666666666665,620
1151617579,NA,0.8333333333333334,NA,196
1151617581,NA,239.73333333333332,NA,89
1151617595,NA,1.5166666666666666,1.3166666666666667,133
1151617609,NA,NA,NA,266
1151617613,NA,19.1,23.783333333333335,297
1151617621,NA,NA,NA,5
1151617639,NA,138.76666666666668,4.6,430
1151617641,NA,9.133333333333333,NA,1499
1151617645,NA,85.78333333333333,NA,134
1151617661,NA,80.63333333333334,NA,1227
1151617665,NA,11.283333333333333,NA,491
1151617669,NA,NA,NA,26
1151617673,NA,NA,NA,73
1151617681,NA,0.016666666666666666,NA,5
1151617693,NA,NA,NA,73
1151617697,NA,1.55,NA,194
1151617707,NA,0.9,44.016666666666666,291
1151617745,2,0.8833333333333333,NA,44
1151617755,7,NA,NA,337
1151617757,NA,15.716666666666667,6.7,730
1151617759,NA,2.4833333333333334,NA,39
1151617761,NA,3.4,NA,159
1151617769,NA,1.6,NA,13
1151617775,NA,0.016666666666666666,NA,43
1151617785,NA,0.4,6.016666666666667,197
1151617789,NA,150.98333333333332,NA,281
1151617831,NA,NA,NA,55
1151617835,NA,11.616666666666667,2.2,142
1151617837,NA,2.4833333333333334,NA,85
1151617843,1,3.9166666666666665,NA,158
1151617855,NA,6.883333333333334,NA,188
1151617867,NA,21.033333333333335,16.933333333333334,913
1151617871,NA,NA,NA,28
1151617879,10,12.916666666666666,NA,362
1151617889,NA,NA,1.5166666666666666,47
1151617891,NA,NA,NA,221
1151617895,NA,NA,NA,1612
1151617897,NA,NA,NA,76
1151617931,NA,NA,NA,245
1151617937,NA,3.35,6.283333333333333,355
1151617939,NA,NA,NA,1
1151617941,NA,7.633333333333334,7.616666666666666,198
1151617943,NA,0.48333333333333334,NA,54
1151617945,NA,291.45,NA,130
1151617949,NA,1.5,NA,212
1151617955,NA,159,3.066666666666667,271
1151617959,9,0.7833333333333333,NA,367
1151617961,17,9.95,1.4,806
1151617965,1,86.15,5.983333333333333,942
1151617973,NA,NA,NA,2
1151617981,NA,10.95,0.8,1336
1151617985,NA,NA,NA,99
1151617989,NA,NA,NA,89
1151617995,NA,9.183333333333334,1.5333333333333334,62
1151617999,NA,NA,NA,30
1151618007,NA,6.383333333333334,NA,324
1151618009,NA,9.183333333333334,NA,150
1151618023,NA,0.75,0.9166666666666666,2547
1151618025,NA,NA,NA,584
1151618031,346,90.56666666666666,NA,37427
1151618033,NA,NA,NA,16
1151618045,NA,NA,1.4666666666666666,183
1151618081,NA,47.78333333333333,NA,27
1151618093,NA,1.5666666666666667,NA,8
1151618103,66,165.15,0.2,850
1151618107,NA,3.816666666666667,4.4,41
1151618115,NA,90,NA,339
1151618121,NA,1.8,3.75,881
1151618129,NA,12.016666666666667,0.15,1951
1151618131,NA,7.7,1.6,407
1151618135,1,30.583333333333332,NA,242
1151618137,NA,1.9166666666666667,1.15,174
1151618143,NA,0.2833333333333333,NA,46
1151618145,NA,0.1,NA,59
1151618147,NA,3.55,NA,51
1151618157,NA,NA,NA,18
1151618171,NA,3.066666666666667,NA,324
1151618179,NA,34.166666666666664,NA,70
1151618183,NA,11.75,0.1,138
1151618193,NA,NA,NA,2
1151618197,NA,NA,NA,1046
1151618207,NA,NA,NA,9
1151618219,NA,NA,NA,7
1151618231,NA,NA,NA,121
1151618235,NA,NA,NA,27
1151618257,NA,NA,NA,4
1151618269,NA,0.95,NA,5
1151618275,NA,1.65,NA,53
1151618307,NA,19.283333333333335,NA,326
1151618313,NA,NA,NA,125
1151618315,NA,1.05,NA,7
1151618317,NA,NA,NA,15
1151618331,NA,1.25,NA,43
1151618337,NA,NA,NA,709
1151618343,NA,23.266666666666666,0.2833333333333333,462
1151618345,NA,NA,NA,81
1151618355,NA,NA,NA,62
1151618397,NA,NA,NA,42
